Gene,Non-unique Gene name,Annotation,Bvulgatus_003,Bvulgatus_002,Bvulgatus_001,Bvulgatus_007,Bvulgatus_005,Bvulgatus_004,Bvulgatus_008,Bvulgatus_006,Bvulgatus_009,Bvulgatus_010,Bvulgatus_011,Bvulgatus_012,Bvulgatus_013,Bvulgatus_015,Bvulgatus_014,Bvulgatus_016
nqrA,nqrA,Na(+)-translocating NADH-quinone reductase subunit A,HEIJGMMO_03630,GPOEIMLL_02213,IJAHANFD_03331,DILGGDIB_01485,PACOMJFE_03195,DLCGALLP_03093,BFLOPMGA_03626,FDBKJOBC_04221,NKLAJGJN_01779,FONGECLK_03742,KCGFLPLG_01771,OLJLFCEF_03980,AABBIEKD_00904,KHFKBGOE_04129,MIHLPIAK_03207,FIKBGKBO_02425
ybdG_2,ybdG_2,Miniconductance mechanosensitive channel YbdG,HEIJGMMO_01448,GPOEIMLL_02435,IJAHANFD_02079,DILGGDIB_01623,PACOMJFE_01213,DLCGALLP_02585,BFLOPMGA_00544,FDBKJOBC_02605,NKLAJGJN_00224,FONGECLK_00710,KCGFLPLG_00223,OLJLFCEF_02048,AABBIEKD_01415,KHFKBGOE_01655,MIHLPIAK_01408,FIKBGKBO_01189
group_980,,hypothetical protein,HEIJGMMO_01734,GPOEIMLL_00065,IJAHANFD_02104,DILGGDIB_00604,PACOMJFE_00887,DLCGALLP_01263,BFLOPMGA_00880,FDBKJOBC_02717,NKLAJGJN_00948,FONGECLK_01320,KCGFLPLG_00930,OLJLFCEF_01904,AABBIEKD_00857,KHFKBGOE_02127,MIHLPIAK_00823,FIKBGKBO_00547
group_978,mepA_3,Multidrug export protein MepA,HEIJGMMO_01474,GPOEIMLL_02409,IJAHANFD_02052,DILGGDIB_01597,PACOMJFE_01187,DLCGALLP_02559,BFLOPMGA_00517,FDBKJOBC_02579,NKLAJGJN_00197,FONGECLK_00736,KCGFLPLG_00197,OLJLFCEF_02075,AABBIEKD_02544,KHFKBGOE_01681,MIHLPIAK_01382,FIKBGKBO_01215
dapE_1,dapE_1,Succinyl-diaminopimelate desuccinylase,HEIJGMMO_01349,GPOEIMLL_00631,IJAHANFD_00882,DILGGDIB_02203,PACOMJFE_01883,DLCGALLP_01690,BFLOPMGA_00736,FDBKJOBC_00538,NKLAJGJN_02287,FONGECLK_01583,KCGFLPLG_02222,OLJLFCEF_00688,AABBIEKD_02179,KHFKBGOE_00365,MIHLPIAK_01010,FIKBGKBO_00884
atoC_3,atoC_3,Regulatory protein AtoC,HEIJGMMO_03089,GPOEIMLL_00390,IJAHANFD_03492,DILGGDIB_01878,PACOMJFE_00227,DLCGALLP_01538,BFLOPMGA_04336,FDBKJOBC_03619,NKLAJGJN_02048,FONGECLK_00027,KCGFLPLG_02039,OLJLFCEF_00170,AABBIEKD_01642,KHFKBGOE_00166,MIHLPIAK_00226,FIKBGKBO_00431
tig,tig,Trigger factor,HEIJGMMO_03052,GPOEIMLL_00854,IJAHANFD_00436,DILGGDIB_02682,PACOMJFE_00345,DLCGALLP_01406,BFLOPMGA_01754,FDBKJOBC_03338,NKLAJGJN_02878,FONGECLK_00257,KCGFLPLG_02892,OLJLFCEF_03316,AABBIEKD_00224,KHFKBGOE_04168,MIHLPIAK_00344,FIKBGKBO_03113
group_975,,hypothetical protein,HEIJGMMO_01983,GPOEIMLL_01646,IJAHANFD_01360,DILGGDIB_03156,PACOMJFE_02271,DLCGALLP_00515,BFLOPMGA_02915,FDBKJOBC_01557,NKLAJGJN_02392,FONGECLK_01540,KCGFLPLG_02444,OLJLFCEF_01754,AABBIEKD_02249,KHFKBGOE_00740,MIHLPIAK_02333,FIKBGKBO_04118
group_974,,hypothetical protein,HEIJGMMO_01377,GPOEIMLL_00659,IJAHANFD_00910,DILGGDIB_02175,PACOMJFE_01855,DLCGALLP_01663,BFLOPMGA_00703,FDBKJOBC_00566,NKLAJGJN_03563,FONGECLK_01555,KCGFLPLG_03621,OLJLFCEF_00660,AABBIEKD_02151,KHFKBGOE_00337,MIHLPIAK_01038,FIKBGKBO_00912
surA_2,surA_2,Chaperone SurA,HEIJGMMO_03063,GPOEIMLL_00843,IJAHANFD_00425,DILGGDIB_02693,PACOMJFE_00355,DLCGALLP_01394,BFLOPMGA_01765,FDBKJOBC_03349,NKLAJGJN_02853,FONGECLK_00296,KCGFLPLG_02917,OLJLFCEF_03305,AABBIEKD_00199,KHFKBGOE_02646,MIHLPIAK_00354,FIKBGKBO_03138
group_968,,hypothetical protein,HEIJGMMO_00733,GPOEIMLL_03272,IJAHANFD_01191,DILGGDIB_01194,PACOMJFE_02387,DLCGALLP_00237,BFLOPMGA_03262,FDBKJOBC_02168,NKLAJGJN_00011,FONGECLK_02640,KCGFLPLG_00011,OLJLFCEF_01468,AABBIEKD_01225,KHFKBGOE_00590,MIHLPIAK_02471,FIKBGKBO_03206
group_966,,hypothetical protein,HEIJGMMO_03528,GPOEIMLL_03341,IJAHANFD_01484,DILGGDIB_03429,PACOMJFE_03503,DLCGALLP_02864,BFLOPMGA_02670,FDBKJOBC_03961,NKLAJGJN_03963,FONGECLK_02413,KCGFLPLG_03948,OLJLFCEF_03933,AABBIEKD_03074,KHFKBGOE_03890,MIHLPIAK_03305,FIKBGKBO_03312
hisS,hisS,Histidine--tRNA ligase,HEIJGMMO_03145,GPOEIMLL_03421,IJAHANFD_03549,DILGGDIB_03353,PACOMJFE_00417,DLCGALLP_01336,BFLOPMGA_01828,FDBKJOBC_03737,NKLAJGJN_00686,FONGECLK_00360,KCGFLPLG_00686,OLJLFCEF_03692,AABBIEKD_00136,KHFKBGOE_02584,MIHLPIAK_00413,FIKBGKBO_00693
trpB_2,trpB_2,Tryptophan synthase beta chain,HEIJGMMO_02098,GPOEIMLL_00293,IJAHANFD_00809,DILGGDIB_01747,PACOMJFE_00311,DLCGALLP_03530,BFLOPMGA_03813,FDBKJOBC_00455,NKLAJGJN_02796,FONGECLK_02785,KCGFLPLG_02820,OLJLFCEF_00013,AABBIEKD_02871,KHFKBGOE_04162,MIHLPIAK_00310,FIKBGKBO_02255
atoC_1,atoC_1,Regulatory protein AtoC,HEIJGMMO_02749,GPOEIMLL_03528,IJAHANFD_03231,DILGGDIB_02626,PACOMJFE_00031,DLCGALLP_00367,BFLOPMGA_01602,FDBKJOBC_03520,NKLAJGJN_03369,FONGECLK_02824,KCGFLPLG_02459,OLJLFCEF_03490,AABBIEKD_03442,KHFKBGOE_04279,MIHLPIAK_00031,FIKBGKBO_01435
radA,radA,DNA repair protein RadA,HEIJGMMO_02206,GPOEIMLL_02818,IJAHANFD_02825,DILGGDIB_00347,PACOMJFE_02608,DLCGALLP_02320,BFLOPMGA_02510,FDBKJOBC_02930,NKLAJGJN_02560,FONGECLK_02496,KCGFLPLG_02633,OLJLFCEF_03136,AABBIEKD_03340,KHFKBGOE_02766,MIHLPIAK_02692,FIKBGKBO_02486
group_961,,hypothetical protein,HEIJGMMO_01707,GPOEIMLL_00087,IJAHANFD_02131,DILGGDIB_00631,PACOMJFE_00860,DLCGALLP_01236,BFLOPMGA_00843,FDBKJOBC_02690,NKLAJGJN_00975,FONGECLK_01347,KCGFLPLG_00903,OLJLFCEF_01882,AABBIEKD_00830,KHFKBGOE_02100,MIHLPIAK_00850,FIKBGKBO_00574
lutB,lutB,Lactate utilization protein B,HEIJGMMO_01537,GPOEIMLL_02347,IJAHANFD_01989,DILGGDIB_02805,PACOMJFE_03997,DLCGALLP_02730,BFLOPMGA_01949,FDBKJOBC_04121,NKLAJGJN_00134,FONGECLK_00805,KCGFLPLG_00134,OLJLFCEF_02137,AABBIEKD_03235,KHFKBGOE_01743,MIHLPIAK_03864,FIKBGKBO_03848
group_960,,hypothetical protein,HEIJGMMO_00862,GPOEIMLL_01242,IJAHANFD_01697,DILGGDIB_00861,PACOMJFE_00559,DLCGALLP_03626,BFLOPMGA_03228,FDBKJOBC_01472,NKLAJGJN_00553,FONGECLK_00486,KCGFLPLG_00552,OLJLFCEF_04080,AABBIEKD_00005,KHFKBGOE_01975,MIHLPIAK_00555,FIKBGKBO_00824
miaB,miaB,tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase,HEIJGMMO_02833,GPOEIMLL_01371,IJAHANFD_00010,DILGGDIB_01069,PACOMJFE_01801,DLCGALLP_04185,BFLOPMGA_00334,FDBKJOBC_01190,NKLAJGJN_01984,FONGECLK_02764,KCGFLPLG_01976,OLJLFCEF_03087,AABBIEKD_04025,KHFKBGOE_01039,MIHLPIAK_02094,FIKBGKBO_01417
mepA_1,mepA_1,Multidrug export protein MepA,HEIJGMMO_00908,GPOEIMLL_02118,IJAHANFD_01743,DILGGDIB_00808,PACOMJFE_00512,DLCGALLP_03667,BFLOPMGA_03188,FDBKJOBC_01426,NKLAJGJN_00592,FONGECLK_00446,KCGFLPLG_00592,OLJLFCEF_02850,AABBIEKD_00051,KHFKBGOE_02013,MIHLPIAK_00508,FIKBGKBO_00778
group_954,oprM_3,Outer membrane protein OprM,HEIJGMMO_03432,GPOEIMLL_03144,IJAHANFD_03778,DILGGDIB_02589,PACOMJFE_03693,DLCGALLP_03723,BFLOPMGA_02829,FDBKJOBC_03989,NKLAJGJN_03178,FONGECLK_02519,KCGFLPLG_03287,OLJLFCEF_03387,AABBIEKD_02941,KHFKBGOE_03348,MIHLPIAK_03711,FIKBGKBO_02732
cusC_2,cusC_2,Cation efflux system protein CusC,HEIJGMMO_02555,GPOEIMLL_03066,IJAHANFD_03091,DILGGDIB_02408,PACOMJFE_03065,DLCGALLP_02950,BFLOPMGA_03477,FDBKJOBC_03269,NKLAJGJN_02955,FONGECLK_00988,KCGFLPLG_03028,OLJLFCEF_02905,AABBIEKD_03258,KHFKBGOE_03444,MIHLPIAK_03202,FIKBGKBO_02614
group_953,,hypothetical protein,HEIJGMMO_00907,GPOEIMLL_02117,IJAHANFD_01742,DILGGDIB_00809,PACOMJFE_00513,DLCGALLP_03666,BFLOPMGA_03189,FDBKJOBC_01427,NKLAJGJN_00591,FONGECLK_00447,KCGFLPLG_00591,OLJLFCEF_02849,AABBIEKD_00050,KHFKBGOE_02012,MIHLPIAK_00509,FIKBGKBO_00779
pepE_2,pepE_2,Aminopeptidase E,HEIJGMMO_03270,GPOEIMLL_02208,IJAHANFD_03308,DILGGDIB_02601,PACOMJFE_04058,DLCGALLP_00388,BFLOPMGA_01577,FDBKJOBC_03911,NKLAJGJN_03948,FONGECLK_03692,KCGFLPLG_03922,OLJLFCEF_03465,AABBIEKD_03807,KHFKBGOE_04241,MIHLPIAK_03958,FIKBGKBO_03081
ribZ,ribZ,Riboflavin transporter RibZ,HEIJGMMO_02354,GPOEIMLL_01352,IJAHANFD_03809,DILGGDIB_02151,PACOMJFE_02911,DLCGALLP_01926,BFLOPMGA_00316,FDBKJOBC_04079,NKLAJGJN_01966,FONGECLK_02745,KCGFLPLG_01958,OLJLFCEF_03106,AABBIEKD_03111,KHFKBGOE_01058,MIHLPIAK_02993,FIKBGKBO_01769
gltS,gltS,Sodium/glutamate symporter,HEIJGMMO_01329,GPOEIMLL_00585,IJAHANFD_00862,DILGGDIB_02221,PACOMJFE_02486,DLCGALLP_03163,BFLOPMGA_03011,FDBKJOBC_00518,NKLAJGJN_02222,FONGECLK_01597,KCGFLPLG_02287,OLJLFCEF_03586,AABBIEKD_02198,KHFKBGOE_00384,MIHLPIAK_02570,FIKBGKBO_00870
mltF_1,mltF_1,Membrane-bound lytic murein transglycosylase F,HEIJGMMO_03367,GPOEIMLL_00371,IJAHANFD_03953,DILGGDIB_01890,PACOMJFE_00231,DLCGALLP_01542,BFLOPMGA_04104,FDBKJOBC_00366,NKLAJGJN_02029,FONGECLK_00023,KCGFLPLG_02020,OLJLFCEF_00154,AABBIEKD_01646,KHFKBGOE_00178,MIHLPIAK_00230,FIKBGKBO_00457
leuC,leuC,3-isopropylmalate dehydratase large subunit,HEIJGMMO_03534,GPOEIMLL_03755,IJAHANFD_03880,DILGGDIB_03858,PACOMJFE_02560,DLCGALLP_02274,BFLOPMGA_04172,FDBKJOBC_02890,NKLAJGJN_02518,FONGECLK_03823,KCGFLPLG_02591,OLJLFCEF_04168,AABBIEKD_04209,KHFKBGOE_04318,MIHLPIAK_02644,FIKBGKBO_04104
zraR_1,zraR_1,Transcriptional regulatory protein ZraR,HEIJGMMO_03165,GPOEIMLL_03395,IJAHANFD_03569,DILGGDIB_03373,PACOMJFE_00397,DLCGALLP_01361,BFLOPMGA_01808,FDBKJOBC_03717,NKLAJGJN_00706,FONGECLK_00340,KCGFLPLG_00706,OLJLFCEF_03718,AABBIEKD_00156,KHFKBGOE_02604,MIHLPIAK_00393,FIKBGKBO_00673
axeA1_2,axeA1_2,Acetylxylan esterase,HEIJGMMO_01843,GPOEIMLL_03443,IJAHANFD_02450,DILGGDIB_02034,PACOMJFE_03929,DLCGALLP_01155,BFLOPMGA_02365,FDBKJOBC_02879,NKLAJGJN_03806,FONGECLK_03518,KCGFLPLG_03803,OLJLFCEF_02304,AABBIEKD_03609,KHFKBGOE_01895,MIHLPIAK_03796,FIKBGKBO_02298
lpxC,lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase,HEIJGMMO_01584,GPOEIMLL_00242,IJAHANFD_02253,DILGGDIB_01527,PACOMJFE_01342,DLCGALLP_01036,BFLOPMGA_01229,FDBKJOBC_02777,NKLAJGJN_02182,FONGECLK_01029,KCGFLPLG_02144,OLJLFCEF_02179,AABBIEKD_00492,KHFKBGOE_02243,MIHLPIAK_01538,FIKBGKBO_01948
group_942,,hypothetical protein,HEIJGMMO_01020,GPOEIMLL_01913,IJAHANFD_02744,DILGGDIB_01938,PACOMJFE_00703,DLCGALLP_00628,BFLOPMGA_02457,FDBKJOBC_01657,NKLAJGJN_01187,FONGECLK_02267,KCGFLPLG_01030,OLJLFCEF_02798,AABBIEKD_00576,KHFKBGOE_03170,MIHLPIAK_00627,FIKBGKBO_01859
cusC_1,cusC_1,Cation efflux system protein CusC,HEIJGMMO_00869,GPOEIMLL_02087,IJAHANFD_01704,DILGGDIB_00848,PACOMJFE_00552,DLCGALLP_03633,BFLOPMGA_03221,FDBKJOBC_01465,NKLAJGJN_00560,FONGECLK_00479,KCGFLPLG_00559,OLJLFCEF_04087,AABBIEKD_00012,KHFKBGOE_01982,MIHLPIAK_00548,FIKBGKBO_00817
group_934,,hypothetical protein,HEIJGMMO_02558,GPOEIMLL_03069,IJAHANFD_03094,DILGGDIB_02405,PACOMJFE_03062,DLCGALLP_02953,BFLOPMGA_03480,FDBKJOBC_03266,NKLAJGJN_02958,FONGECLK_00991,KCGFLPLG_03031,OLJLFCEF_02902,AABBIEKD_03255,KHFKBGOE_03441,MIHLPIAK_03205,FIKBGKBO_02611
algC,algC,Phosphomannomutase/phosphoglucomutase,HEIJGMMO_01638,GPOEIMLL_00189,IJAHANFD_02199,DILGGDIB_01579,PACOMJFE_01396,DLCGALLP_00963,BFLOPMGA_00769,FDBKJOBC_02723,NKLAJGJN_02129,FONGECLK_03428,KCGFLPLG_02197,OLJLFCEF_03786,AABBIEKD_00438,KHFKBGOE_02190,MIHLPIAK_01592,FIKBGKBO_01895
pepP,pepP,Xaa-Pro aminopeptidase,HEIJGMMO_02183,GPOEIMLL_02846,IJAHANFD_02857,DILGGDIB_00373,PACOMJFE_02633,DLCGALLP_02350,BFLOPMGA_02535,FDBKJOBC_02954,NKLAJGJN_02584,FONGECLK_02472,KCGFLPLG_02657,OLJLFCEF_03163,AABBIEKD_03364,KHFKBGOE_02793,MIHLPIAK_02717,FIKBGKBO_02462
gatC,gatC,PTS system galactitol-specific EIIC component,HEIJGMMO_00238,GPOEIMLL_01516,IJAHANFD_00660,DILGGDIB_00931,PACOMJFE_01993,DLCGALLP_00053,BFLOPMGA_03658,FDBKJOBC_00071,NKLAJGJN_00814,FONGECLK_01387,KCGFLPLG_00749,OLJLFCEF_01583,AABBIEKD_01711,KHFKBGOE_01390,MIHLPIAK_01955,FIKBGKBO_01081
yqhD,yqhD,Alcohol dehydrogenase YqhD,HEIJGMMO_02305,GPOEIMLL_02621,IJAHANFD_02349,DILGGDIB_03119,PACOMJFE_02301,DLCGALLP_03609,BFLOPMGA_03752,FDBKJOBC_03093,NKLAJGJN_03473,FONGECLK_02615,KCGFLPLG_03535,OLJLFCEF_00956,AABBIEKD_03847,KHFKBGOE_03788,MIHLPIAK_02368,FIKBGKBO_02998
group_928,,hypothetical protein,HEIJGMMO_01204,GPOEIMLL_00469,IJAHANFD_01894,DILGGDIB_00496,PACOMJFE_00147,DLCGALLP_01435,BFLOPMGA_02041,FDBKJOBC_01840,NKLAJGJN_03499,FONGECLK_01109,KCGFLPLG_03491,OLJLFCEF_00249,AABBIEKD_01561,KHFKBGOE_00089,MIHLPIAK_00146,FIKBGKBO_00325
oprM_1,oprM_1,Outer membrane protein OprM,HEIJGMMO_00954,GPOEIMLL_02164,IJAHANFD_01789,DILGGDIB_00765,PACOMJFE_00455,DLCGALLP_02123,BFLOPMGA_01877,FDBKJOBC_01379,NKLAJGJN_00642,FONGECLK_00397,KCGFLPLG_00642,OLJLFCEF_03969,AABBIEKD_00100,KHFKBGOE_02063,MIHLPIAK_00451,FIKBGKBO_00729
alsT,alsT,Amino-acid carrier protein AlsT,HEIJGMMO_02171,GPOEIMLL_02859,IJAHANFD_03972,DILGGDIB_00385,PACOMJFE_00046,DLCGALLP_02191,BFLOPMGA_02547,FDBKJOBC_02966,NKLAJGJN_01481,FONGECLK_02460,KCGFLPLG_01327,OLJLFCEF_03176,AABBIEKD_03994,KHFKBGOE_02805,MIHLPIAK_00045,FIKBGKBO_02450
trpE,trpE,Anthranilate synthase component 1,HEIJGMMO_02079,GPOEIMLL_00055,IJAHANFD_03665,DILGGDIB_00594,PACOMJFE_00897,DLCGALLP_01273,BFLOPMGA_00891,FDBKJOBC_03793,NKLAJGJN_00938,FONGECLK_01310,KCGFLPLG_00940,OLJLFCEF_03673,AABBIEKD_00867,KHFKBGOE_02137,MIHLPIAK_00813,FIKBGKBO_00537
dacB,dacB,D-alanyl-D-alanine carboxypeptidase DacB,HEIJGMMO_00554,GPOEIMLL_02778,IJAHANFD_00072,DILGGDIB_01017,PACOMJFE_01744,DLCGALLP_03821,BFLOPMGA_00380,FDBKJOBC_01248,NKLAJGJN_02691,FONGECLK_01795,KCGFLPLG_02764,OLJLFCEF_00488,AABBIEKD_01807,KHFKBGOE_02928,MIHLPIAK_02037,FIKBGKBO_01347
asnS,asnS,Asparagine--tRNA ligase,HEIJGMMO_02507,GPOEIMLL_03018,IJAHANFD_03043,DILGGDIB_02457,PACOMJFE_03114,DLCGALLP_02902,BFLOPMGA_04255,FDBKJOBC_03317,NKLAJGJN_02907,FONGECLK_00940,KCGFLPLG_02980,OLJLFCEF_02953,AABBIEKD_03306,KHFKBGOE_03493,MIHLPIAK_03153,FIKBGKBO_02663
purF_1,purF_1,Amidophosphoribosyltransferase,HEIJGMMO_02938,GPOEIMLL_03090,IJAHANFD_03401,DILGGDIB_02541,PACOMJFE_04172,DLCGALLP_04158,BFLOPMGA_02766,FDBKJOBC_03473,NKLAJGJN_03322,FONGECLK_01853,KCGFLPLG_03430,OLJLFCEF_03333,AABBIEKD_02892,KHFKBGOE_03301,MIHLPIAK_04174,FIKBGKBO_02684
dnaA,dnaA,Chromosomal replication initiator protein DnaA,HEIJGMMO_01640,GPOEIMLL_00148,IJAHANFD_02195,DILGGDIB_00701,PACOMJFE_00791,DLCGALLP_04114,BFLOPMGA_00791,FDBKJOBC_02626,NKLAJGJN_03538,FONGECLK_02110,KCGFLPLG_03562,OLJLFCEF_01764,AABBIEKD_00765,KHFKBGOE_02402,MIHLPIAK_00918,FIKBGKBO_00624
uxaC,uxaC,Uronate isomerase,HEIJGMMO_00605,GPOEIMLL_02674,IJAHANFD_01258,DILGGDIB_03628,PACOMJFE_03707,DLCGALLP_00306,BFLOPMGA_01675,FDBKJOBC_02100,NKLAJGJN_03314,FONGECLK_03365,KCGFLPLG_03422,OLJLFCEF_01397,AABBIEKD_02753,KHFKBGOE_00458,MIHLPIAK_03570,FIKBGKBO_01509
cysG_1,cysG_1,Siroheme synthase,HEIJGMMO_00595,GPOEIMLL_02664,IJAHANFD_01268,DILGGDIB_03638,PACOMJFE_03717,DLCGALLP_00316,BFLOPMGA_01665,FDBKJOBC_02090,NKLAJGJN_03437,FONGECLK_03375,KCGFLPLG_02528,OLJLFCEF_01387,AABBIEKD_02743,KHFKBGOE_00448,MIHLPIAK_03580,FIKBGKBO_01499
group_921,,hypothetical protein,HEIJGMMO_01504,GPOEIMLL_02380,IJAHANFD_02022,DILGGDIB_02838,PACOMJFE_01157,DLCGALLP_02768,BFLOPMGA_03703,FDBKJOBC_02549,NKLAJGJN_00167,FONGECLK_00771,KCGFLPLG_00167,OLJLFCEF_02104,AABBIEKD_02509,KHFKBGOE_01710,MIHLPIAK_01352,FIKBGKBO_01245
btuD_7,btuD_7,Vitamin B12 import ATP-binding protein BtuD,HEIJGMMO_02483,GPOEIMLL_03209,IJAHANFD_03728,DILGGDIB_03875,PACOMJFE_03261,DLCGALLP_03463,BFLOPMGA_00062,FDBKJOBC_00298,NKLAJGJN_03979,FONGECLK_03718,KCGFLPLG_03966,OLJLFCEF_03403,AABBIEKD_02698,KHFKBGOE_03664,MIHLPIAK_04101,FIKBGKBO_04146
group_915,,Glycosyl hydrolase family 109 protein 1,HEIJGMMO_00976,GPOEIMLL_02189,IJAHANFD_01826,DILGGDIB_00739,PACOMJFE_00429,DLCGALLP_01317,BFLOPMGA_01840,FDBKJOBC_01342,NKLAJGJN_00664,FONGECLK_00371,KCGFLPLG_00664,OLJLFCEF_04245,AABBIEKD_00125,KHFKBGOE_04063,MIHLPIAK_00425,FIKBGKBO_00704
phoB,phoB,Alkaline phosphatase 3,HEIJGMMO_03530,GPOEIMLL_03339,IJAHANFD_01486,DILGGDIB_03427,PACOMJFE_03505,DLCGALLP_02866,BFLOPMGA_02672,FDBKJOBC_03963,NKLAJGJN_03965,FONGECLK_02411,KCGFLPLG_03946,OLJLFCEF_03935,AABBIEKD_03076,KHFKBGOE_03888,MIHLPIAK_03303,FIKBGKBO_03310
bioB_1,bioB_1,Biotin synthase,HEIJGMMO_00985,GPOEIMLL_02198,IJAHANFD_01835,DILGGDIB_00730,PACOMJFE_00419,DLCGALLP_01334,BFLOPMGA_01830,FDBKJOBC_01333,NKLAJGJN_00673,FONGECLK_00362,KCGFLPLG_00673,OLJLFCEF_04254,AABBIEKD_00134,KHFKBGOE_04072,MIHLPIAK_00415,FIKBGKBO_00695
recD2_1,recD2_1,ATP-dependent RecD-like DNA helicase,HEIJGMMO_00067,GPOEIMLL_00965,IJAHANFD_00546,DILGGDIB_02305,PACOMJFE_02102,DLCGALLP_03033,BFLOPMGA_00177,FDBKJOBC_00186,NKLAJGJN_01108,FONGECLK_01675,KCGFLPLG_01255,OLJLFCEF_02998,AABBIEKD_02009,KHFKBGOE_03014,MIHLPIAK_02164,FIKBGKBO_02875
rlmCD,rlmCD,23S rRNA (uracil-C(5))-methyltransferase RlmCD,HEIJGMMO_02689,GPOEIMLL_03284,IJAHANFD_02929,DILGGDIB_03655,PACOMJFE_01641,DLCGALLP_02989,BFLOPMGA_02733,FDBKJOBC_02458,NKLAJGJN_03819,FONGECLK_03147,KCGFLPLG_03816,OLJLFCEF_03185,AABBIEKD_01022,KHFKBGOE_03762,MIHLPIAK_01837,FIKBGKBO_03306
ndhB,ndhB,NAD(P)H-quinone oxidoreductase subunit 2,HEIJGMMO_00184,GPOEIMLL_01469,IJAHANFD_00714,DILGGDIB_00878,PACOMJFE_02034,DLCGALLP_00121,BFLOPMGA_03866,FDBKJOBC_00017,NKLAJGJN_00769,FONGECLK_01425,KCGFLPLG_00794,OLJLFCEF_01536,AABBIEKD_01756,KHFKBGOE_01436,MIHLPIAK_01996,FIKBGKBO_01136
group_900,,hypothetical protein,HEIJGMMO_03148,GPOEIMLL_03418,IJAHANFD_03552,DILGGDIB_03356,PACOMJFE_00414,DLCGALLP_01339,BFLOPMGA_01825,FDBKJOBC_03734,NKLAJGJN_00689,FONGECLK_00357,KCGFLPLG_00689,OLJLFCEF_03695,AABBIEKD_00139,KHFKBGOE_02587,MIHLPIAK_00410,FIKBGKBO_00690
group_899,,hypothetical protein,HEIJGMMO_02679,GPOEIMLL_01280,IJAHANFD_03153,DILGGDIB_03245,PACOMJFE_03751,DLCGALLP_03962,BFLOPMGA_02939,FDBKJOBC_03244,NKLAJGJN_03643,FONGECLK_03307,KCGFLPLG_03271,OLJLFCEF_02379,AABBIEKD_03789,KHFKBGOE_01131,MIHLPIAK_03614,FIKBGKBO_01697
group_898,,hypothetical protein,HEIJGMMO_02319,GPOEIMLL_02607,IJAHANFD_02334,DILGGDIB_03133,PACOMJFE_02315,DLCGALLP_03595,BFLOPMGA_03738,FDBKJOBC_03079,NKLAJGJN_03458,FONGECLK_02601,KCGFLPLG_03520,OLJLFCEF_00942,AABBIEKD_03697,KHFKBGOE_03773,MIHLPIAK_02354,FIKBGKBO_02984
rsmF,rsmF,Ribosomal RNA small subunit methyltransferase F,HEIJGMMO_00113,GPOEIMLL_00918,IJAHANFD_00500,DILGGDIB_02356,PACOMJFE_02149,DLCGALLP_04134,BFLOPMGA_00131,FDBKJOBC_00232,NKLAJGJN_01061,FONGECLK_00876,KCGFLPLG_01208,OLJLFCEF_01034,AABBIEKD_03407,KHFKBGOE_02705,MIHLPIAK_02211,FIKBGKBO_02559
group_893,,hypothetical protein,HEIJGMMO_01594,GPOEIMLL_00232,IJAHANFD_02243,DILGGDIB_01536,PACOMJFE_01352,DLCGALLP_01029,BFLOPMGA_01220,FDBKJOBC_02767,NKLAJGJN_02172,FONGECLK_01020,KCGFLPLG_02154,OLJLFCEF_02169,AABBIEKD_00482,KHFKBGOE_02233,MIHLPIAK_01548,FIKBGKBO_01938
group_885,,hypothetical protein,HEIJGMMO_03655,GPOEIMLL_02466,IJAHANFD_04001,DILGGDIB_03822,PACOMJFE_02638,DLCGALLP_01937,BFLOPMGA_01198,FDBKJOBC_04234,NKLAJGJN_02589,FONGECLK_01918,KCGFLPLG_02739,OLJLFCEF_01909,AABBIEKD_03777,KHFKBGOE_01750,MIHLPIAK_02722,FIKBGKBO_02755
sglT_2,sglT_2,Sodium/glucose cotransporter,HEIJGMMO_01515,GPOEIMLL_02369,IJAHANFD_02011,DILGGDIB_02827,PACOMJFE_01146,DLCGALLP_02752,BFLOPMGA_03692,FDBKJOBC_02538,NKLAJGJN_00156,FONGECLK_00783,KCGFLPLG_00156,OLJLFCEF_02115,AABBIEKD_02497,KHFKBGOE_01721,MIHLPIAK_01341,FIKBGKBO_01256
aspA,aspA,Aspartate ammonia-lyase,HEIJGMMO_01028,GPOEIMLL_01905,IJAHANFD_02752,DILGGDIB_01946,PACOMJFE_00694,DLCGALLP_00636,BFLOPMGA_02449,FDBKJOBC_01666,NKLAJGJN_01195,FONGECLK_02275,KCGFLPLG_01038,OLJLFCEF_02790,AABBIEKD_00585,KHFKBGOE_03161,MIHLPIAK_00635,FIKBGKBO_01850
group_881,,hypothetical protein,HEIJGMMO_00401,GPOEIMLL_01968,IJAHANFD_00271,DILGGDIB_03574,PACOMJFE_01432,DLCGALLP_00801,BFLOPMGA_01434,FDBKJOBC_00851,NKLAJGJN_00353,FONGECLK_00219,KCGFLPLG_00479,OLJLFCEF_00329,AABBIEKD_01512,KHFKBGOE_01273,MIHLPIAK_01628,FIKBGKBO_03382
